,sort_name,df_min,df_max,appearances,review,name,address,pro_score,sentiment
178,rocco pizza iii,366,366,1,"Some say this sunken pizzeria on a side street was the inspiration for Spike Lee’s Do the Right Thing. Whether it was or not, the pizzas are damn good, with a slightly thicker crust than usual, and some fairly creative toppings. The margarita slice is memorable, pooled with fresh mozzarella and dotted with herbs, while the lasagna slice mimics that casserole with an insane amount of delicately seasoned ground beef and wads of fresh ricotta. ",Rocco Pizza III,"330 Halsey St, Brooklyn, NY 11216",0.45602605863192175,0.7567947004909903
179,rockys pizzeria,367,367,1,"This Kensington establishment at the corner of Church and C.I.A. (Coney Island Avenue) has been around since the days of the original Rocky movie, and the interior — ablaze in neon — features boxing memorabilia. The plain cheese slice is great, but why not go for the more spectacular ziti slice. Contrary to type, it also features lots of meat sauce to go with the pasta, making it a real pizza-pasta hybrid. Just try to eat more than one slice.",Rocky’s Pizzeria,"474 Coney Island Ave, Brooklyn, NY 11218",0.45602605863192175,0.6070474472135611
180,rosalias pizzeria,368,368,1,"Proving that old-style neighborhood pizzerias are not a bygone phenomenon, Rosalia’s opened not long ago in Forest Hills, with the same owner as Luzzo’s in the East Village and Gansevoort Market. You can tell the proprietor is a Staten Islander the minute you bite into the spinach and artichoke slice: wads of spinach, a strew of chopped artichoke leaves and choke, little hills of melting ricotta, and a soupy greenish sauce. In Staten Island, the semi-liquid slice is king. ",Rosalia's Pizzeria,"103-15 Queens Blvd, Forest Hills, NY 11375",0.45602605863192175,3.472709553129383e-05
181,rosarios pizza,369,369,1,"The crust is thicker, stiffer, and more browned at this Lower East Side stalwart founded in 1963. For the meat lover, there’s a slice with pepperoni and Italian sausage, buoyed by plenty of mozzarella. In fact, the pizzeria describes this slice and several others as deep dish, referencing a Chicago-style pizza rarely seen in New York, especially among neighborhood pizza parlors. We're lucky to be able to buy it by the slice.",Rosario's Pizza,"173 Orchard St, New York, NY 10002",0.45602605863192175,0.507052036237341
182,rubirosa,370,376,7,"Though Rubirosa Ristorante offers a complete menu of Italian favorites including pasta and salads, its pizzas should not be ignored. Its pies come with so many toppings visitors will barely have any crust to grab. To maximize the topping experience, order the Rubirosa Supreme, which comes with tomato, mozzarella, pepperoni, mini meatballs, and roasted garlicSupreme PizzaImagine a steaming hot plate of penne a la vodka at your favorite neighborhood Italian restaurant. Now imagine that, but with the vodka sauce spread on a cracker-thin pizza crust, topped with fresh mozzarella. If you can’t imagine why this would taste incredible, you clearly haven’t had the vodka pie at Rubirosa. In addition to serving this perfect Staten Island-style pie, Rubirosa is also an overall fantastic restaurant and we can think of few places we’d rather spend an evening eating carbs. The plain pie and tie-dye, which adds pesto the mix, are excellent as well.The perpetually packed Mulberry Street spot has some serious pizza cred: It was founded by third-generation pizza maker Angelo “AJ” Pappalardo, who died at age 40 in 2015, and his father, Joe Pappalardo of Joe & Pat’s in Staten Island. The crisp, thin-crust pies include a standout vodka-sauced iteration, and are supplemented by a slew of classic housemade pastas like a chitarra vongole and cavatelli with broccoli rabe and sausage. The cozy space has a warm, throwback feel, with quaint wallpaper, bright red booths, and old black-and-white photos framed on the walls. It can get packed, so try for a reservation.NoneRubirosa is pizza royalty: The founder is of Joe and Pat's fame—he is the son of the owner of the Staten Island institution. The Rubirosa Supreme creates a salty-sweet medley by combining hand-cut spicy pepperoni, diced basil, and flavorful meatballs atop a firm crust that is both strong enough to withstand the weight of the ingredients and yet soft enough to fold like a typical New York slice. Personal Rubirosa SupremeYes, the same sauce-heavy goodness you see on Instagram all the time.The only thing that is keeping Rubriosa from being one of NYC’s classic Italian restaurants is time. Let’s eat vodka sauce pizza while we wait.Reading our old reviews is like digging up a time capsule. What was I doing back in 2011 when we first wrote up Rubirosa? Apparently hanging out in Nolita a lot and using the word “hip” to describe cool things. “The Infatuation: Restaurant Reviews From Your Dad.”Pizza, Italian, Big Groups, Date Night, First/Early in the Game Dates, Gluten-Free Options, Literally Everyone, ",Rubirosa,"235 Mulberry Street, New York, NY, 10012",2.5472312703583055,0.9911619000121119
183,sabrinas,377,377,1,"Founded in 1977 in the shadow of the M and J tracks, this parlor is young in pizzeria years, but excels at all the classic pies and hero sandwiches. Some of the best things on the menu, though, show a Latin bent. For example, the miniature pie called an onion pizzette is about as close as you can get to a real Buenos Aires fugazetta. Other favorites include a spinach-ricotta slice that seems positively healthy, and an idiosyncratic take on a hot dog, wrapping it in pizza dough with melted cheese. Delicious!",Sabrina's,"294 Broadway, Brooklyn, NY 11211",0.45602605863192175,0.9452593704265176
184,sacs place,378,378,1,"Sac's is a large pizzeria-restaurant in Astoria that has the distinction, after Patsy's, of serving the only other coal-oven slice in New York. They do the initial bake in the coal oven, and when you order a slice, they reheat it in a standard gas-fired deck oven. There's not a ton of buzz around Sac's, but it was the best slice on the Queens leg of our initial pizza crawl—thin, crisp, with a bright tomato sauce and just enough cheese. It really should get more attention than it does.",Sac's Place,2541 Broadway,0.260586319218241,0.3562425752167156
185,sal & carmine,379,382,4,"The quintessential Upper West Side slice joint, located on Broadway between 101st and 102nd Streets. When it opened in 1965, on Broadway and 95th Street, it used to be just Sal's. It's now being run by Sal's grandson Luciano. The slices are slightly bready, with just a hint of crunch on the bottom, and they are very cheesy, so much so that the dreaded slice-blotters have a field day at Sal & Carmine. The sauce is barely evident. The place is so old-school, there's still a non-functioning slice window in the front.It's tough to find a reliable slice joint on the Upper West Side. There is only one: Sal and Carmine. Salty, crusty, and stiff on the outside but soft and warm on the inside is the best way to describe both the pizza and the pizzaioli that craft it. The gruff demeanor of the staff and no frills dining area with its strict 20-minute seating time limit only add to its ""charm."" CheeseFor a classic New York thin-crust slice, you can’t go wrong with Sal & Carmine.Sal & Carmine is as authentic as New York pizza gets. It’s been around since 1959, the owners are often grouchy, and the $3 slice has rightfully earned its place in conversations over the best slice in the city. If you’re craving a thin-crust pie, you can’t go wrong here.Pizza, Classic Establishment, Serious Take-Out Operation, Pizzaiolo Sal Malanga opened this popular Upper West Side joint in 1959 and ran it until his death in 2011. His crust remains the quintessential element — ""crisp on the outside and tender on the inside"" as pizza fanatic Ed Levine once put it. Thereafter Sal’s grandson Lou keeps the place up and running, and the cheese slice is as good as always — great crust, with a tomato sauce and cheese that merge into a mysterious amalgam.",Sal and Carmine Pizza,"2671 Broadway, New York, NY 10025",1.3843648208469053,0.15621261500047107
186,sals pizzeria 1,383,383,1,"This 1967 neighborhood pizzeria is more elegant than most, with views out the big picture windows (which open in fine weather) and good wine and beer available to wash pizza down. The eggplant slice features crisp, crumbed slices of vegetable, hillocks of ricotta, and a thin crust that invites you to eat the thing with a knife and fork. And nobody will laugh at you if you do.",Sal's Pizzeria,"544 Lorimer St, Brooklyn, NY 11211",0.45602605863192175,0.8272759214389849
187,sals pizzeria 2,384,384,1,"This antediluvian Bushwick pizzeria that resides above the DeKalb stop on the L dates back to the days when this was an Italian neighborhood and its sausage roll was fabled. In terms of pizza, go for the Sicilian slice. It's thick and square and brown as a beetle, with little rivulets of sauce and cheese and a generous sprinkling of dried Romano for extra saltiness and flavor. It's worth traveling from another borough to try!",Sal's Pizzeria,"119 Wyckoff Ave #1, Brooklyn, NY 11237",0.45602605863192175,0.2968712034836457
188,sams pizza,385,386,2," This humble neighborhood slice parlor proves you don't have to be Italian to make good pizza. An Albanian family currently runs the operation, which was founded in 1946 with the same spare menu it offers today. Husband and wife Anesti and Lina Sufja trade off preparing pies with an open crumb and an excellent balance between cheese, a sweeter-than-average sauce and crust. A slice here may be too delicate for folding, but it tastes just as good cold as heated, and cheese pull -- that phenomenon of mozzarella sliding off your slice as you take a bite out of it -- is never a concern with the Sufja's blend of two brands, one drier and one greasier. Sam’s is a throwback to the ’60s, when East Harlem was one of the city’s most prominent Italian neighborhoods. Now it and Rao’s are two of the few surviving institutions of that era. The place is narrow and efficient, and turns out a bigger range of products than seems possible given the small space. The pizza crust is especially thin and crisp (the dough is made on premises), and the regular slice is on the cheesy side with a big thick “bone” (circumferential edge). Among specialty slices, the three meat (pepperoni, bacon, Italian sausages) is especially fine and greasy, and the chicken parm slice a nice invention. Garlic knots A+. ",Sam’s Famous Pizzeria,"150 E 116th St, New York, NY 10029",0.5048859934853419,0.940996918373608
189,san marco pizzería,387,387,1,"Named after a famous piazza in Venice and dating to 1969, Williamsburg’s San Marco Pizzeria is perhaps the most beautiful and elegant establishment of its type. Seating is mainly at a polished granite counter that faces the pizza oven; a series of signs display the menu, for which there is no paper equivalent; and pies are restricted, for all practical purposes, to plain cheese and plain Sicilian. The cheese slice is austere, with a tomato sauce not the slightest bit sweet, and plenty of salty cheese, making it an entirely savory experience. ",San Marco Pizzería,"577 Lorimer St, Brooklyn, NY 11211",0.45602605863192175,0.6928901907089776
190,san matteo,388,389,2,"If you want to sit down and eat a good pizza on the UES, San Matteo is the place. It’s big and casual, and there’s also stuff besides pizza here.A panuozzo is sort of like a giant sandwich made with pizza dough, and San Matteo is one of the few places in NYC where you can get one. This place also does about 25 different kinds of pizza (and we tend prefer those), and they also have pasta, calzones, and small plates - which makes this a pretty solid neighborhood Italian option. The space is large, with brick walls and plenty of windows, and it’s perfect for a casual dinner with some friends or a few children that you’re responsible for feeding. Start with some antipasti, move on to the pizza, and order a bottle of wine if you don’t have anywhere to be in the morning.Pizza, Italian, Big Groups, Casual Weeknight Dinner, Kids, This tiny pizzeria has made a big splash with its panuozzo, a regional specialty hailing from Campania that’s a cross between a calzone and panino. The puffy plank of tender, salted dough emerges from San Matteo’s hand-built, wood-fired oven crusty and smoke-infused before being sliced and stuffed with first-rate ingredients (highlights include the ortolano’s fresh, house-made mozzarella, grilled eggplant, roasted sweet peppers and baby arugula). The room is graciously attended to and perpetually crowded with neighborhood folks stuffing their faces. In addition to the appetizing house signature, other favorites feature bright salads such as escarole with Gaeta olives, capers and gorgonzola; Neapolitan-style pizza; or the day's special baked pasta.",San Matteo,,0.35830618892508126,0.9867624454519196
191,san remo,390,390,1,"Established in 1976, San Remo offers a deep dining room favored by Ditmas Park families, and all the usual modern pies, including lasagna pizza, the everything pie, deep dish veggie (Chicago style), Buffalo chicken pizza, and vodka pie. The best, though, is the grandma, a variation on the regular Sicilian with a thinner crust, a more herbal sauce, and black pepper. It’s scrumptious.",San Remo,"1408 Cortelyou Rd, Brooklyn, NY 11226",0.45602605863192175,0.7140698593704647
192,santa panza,391,392,2,"Santa Panza is a neighborhood pizza place in Bushwick that’s great for nearly any casual dining situation.Imagine if all of the signs in this city were more like messages on motivational posters. MTA delay announcement tickers would say, “I’m not telling you it’s going to be easy, I’m telling you it’s going to be worth it.” The billboards in Times Square would read “Mistakes are the greatest teachers.” And Santa Panza would have a poster in the window with “It’s not what you do, it’s how you do it” in big letters. On paper, this is just another casual neighborhood pizza place - but the experience here makes you feel like it’s your casual neighborhood pizza place.Pizza, Italian, Casual Weeknight Dinner, Dining Solo, First/Early in the Game Dates, Come for the excellent wood-fired, Neapolitan-style pies at this cash-only place on the border of Bushwick and Bed-Stuy that’s very fine company — competition even — for the beloved pies at Roberta’s. Highlights include the Napoli, topped with Kalamata olives and anchovies, and the salame picante options.",Santa Panza,"1079 Broadway, Brooklyn, NY 11221",0.5342019543973939,0.9611783179409399
193,saraghina,393,395,3,"Like an artistic oasis in an otherwise urban landscape, Saraghina brings a foreign flare and a fantastic flavor to Bedford-Stuyvesant. Named after a character in the film 8 1/2, Saraghina churns out pizza that exceeds 8 1/2 on any taste scale. The Ortolana screams out the best of spring, with bites full of ricotta, charred asparagus, and onion with salsa verde and radishes as garnish.Spring OrtolanaSaraghina is an Italian place that looks like a nice antique store, and it’s one of your best options for pizza in Bed-Stuy.Saraghina is an Italian restaurant/bakery in Bed-Stuy where you can get a great Neapolitan-style pizza. There’s other stuff on the menu, but that isn’t why you come here. The inside feels like a very nice antique store, and it could easily be converted into a place that sells candles and t-shirts with Rolling Stones logos to people who have never listened to The Rolling Stones. Come for a weeknight dinner or stop by on a Saturday and drink a lot of wine. If it’s nice out, you’ll want to be sitting in the backyard.Pizza, Italian, Bedford-Stuyvesant, Birthdays, Date Night, Outdoor/Patio Situation, None",Saraghina,"435 Halsey St (at Lewis Ave), Brooklyn, NY",1.0325732899022797,0.9608186403902466
194,sauce pizzeria,396,396,1,"Sauce Pizzeria is a counter-service slice shop in the East Village.Sauce Pizzeria is a counter-service spot in the East Village from the same owner as Sauce, the Italian restaurant on the LES. The pizza here has a chewy, thin crust, and you can get slices, full pies, and individual dipping sauces that come on the side. They get creative with some of the toppings - and although it might sound gimmicky, the al pastor pie with pineapple sauce is actually pretty good. If you’re in the East Village and want a quick sit-down meal that’s not too expensive, it’s worth stopping by here.Pizza, Casual Weeknight Dinner, Quick Eats, ",Sauce Pizzeria,,0.016286644951140017,0.7775319040998784
195,scarrs pizza,397,401,5,"Not many pizzerias in New York—or the world, for that matter—can claim they're using freshly milled flour in their dough. And Scarr's is the only one in New York selling such pizza by the slice. (Bruno, which opened in the East Village slightly before Scarr's, offers whole pies made with house-milled flour.)  Owner/operator Scarr Pimentel, who has worked in pizzerias all over the city—Joe's, Lombardi's, Artichoke Basille's—blends his own milled flour with organic heritage flour from an upstate farm. Pimentel says freshly milled flour retains more of the wheat's nutrients and can help with digestibility, but what wins us over is the slightly nutty flavor and crisp-chewy texture that the flour blend produces in the crust.  The shop itself is a fun re-creation of a 1970s pizza shop—one that just happens to sell some of the most well-considered pizza in the city. Straightforward pizza. The way it's supposed to be.Scarr’s is decorated to look like a survivor from the Koch Administration, but there is serious modern pizza know-how at work. Wheat milled in the basement each day is mixed with upstate flour, then put through a leisurely fermentation to produce a crust that’s seductively light, even delicate.Scarr’s is a little, retro pizza place on the Lower East Side with some pretty average pizza and a pretty lively scene. It’s your birthday, and a friend gives you a dictionary. What a sh*tty present, you think. But once you get home, you notice that your kitchen table is slanted. So slanted, in fact, that you wedge the dictionary under one of its legs, and voilà. Problem solved. Suddenly, your terrible present is useful. And all you had to do was think of it differently: as a wedge for your table.Pizza, Quick Eats, Opened in 2016, Scarr’s Pizza has a retro-looking exterior and an extremely 2019 view on ingredients. The wines are organic, the grains milled every day by owner Scarr Pimentel, and the cupping pepperoni (sourced from Ezzo Sausage Co. in Columbus) is all-natural and nitrate- and nitrite-free. ",Scarr's Pizza,"22 Orchard St, New York, NY 10002",1.3289902280130288,0.9712857692205216
196,screamers pizzeria,402,404,3,"The Vibe: Vegans should make a pilgrimage to this vegan pizzeria in the heart of Greenpoint. There is limited seating, so don't expect to linger. Nobody should be left out in the cold when it comes to pizza in New York. Thankfully, Screamer’s Pizzeria in Brooklyn has got non-meat eaters covered. The shop offers up everything from classic pies made with vegan cheese, to inventive alternatives like its Clean Slide pizza made with long hot pepper pesto, broccolini, seitan sausage, vegan cheese, tomato sauce stripes, sesame seed crust. It’s so good that even carnivores will be pleasedVegan PizzaNew York-style slices and pies go all-vegan at this tiny Greenpoint pizzeria with an ’80s vibe. (Owners also operate the popular Champs Diner in Williamsburg.) Crusts here are thin and crispy and the cheese comes in four varieties: Violife, a brand made with potato and cornstarch; NUMU, a soy-based mozzarella produced at the Brooklyn Navy Yards; and house-made almond and Parmesan ricotta. Try the Screamer’s white namesake pie, topped with two kinds of mushrooms and parsley flakes, or the Buffalo, with Buffalo-style cauliflower, dollops of the almond ricotta, a drizzle of vegan ranch and chives ($23 for a medium pie, $28 for a large). There’s not much by the way of seating here, so we recommend eating your ‘za on a bench in nearby McCarren Park. Retrace your steps to end the meal on a sweet note, with a vegan scoop from the Van Leeuwen ice cream shop next door.",Screamer’s Pizzeria ,620 Manhattan Ave.,0.6677524429967425,0.9509626358150247
197,seppe pizza bar,405,405,1,"Opened in December 2018 on the Staten Island waterfront, Seppe Pizza Bar from brothers Joe and John Iovino offers pasta, pizza, and cocktails. Seppe’s pepperoni pizza (the “Pep in Your Step”) is a spicy-sweet combination of jalapeños, pepperoni, and hot honey.",Seppe Pizza Bar,"3 Navy Pier Ct, Staten Island, NY 10304",0.260586319218241,0.2968712034836457
198,sofia pizza shoppe,406,407,2,"Tommy DeGrezia and Matthew Porter opened Sofia in 2016 in an area of Manhattan that sorely lacked a fine slice. Tom's last name may look familiar if you've already perused the ""Classics"" section: He's the grandson of Vincent DeGrezia, the ""V"" in Bensonhurst old-school joint J&V Pizza. The regular slices at Sofia are what you should focus on—they're thinner than usual, always consistent, and have just the right balance of sauce and good-quality cheese. As mentioned, one of our ground rules was that we'd judge only on plain slices, and these plain slices pass. But don't skip their signature spinach-dip slice, which sounds like a gut-busting gimmick but actually works, leaving you feeling satisfied but not regretful in the least. Sofia Pizza Shoppe is a tiny slice spot that serves some of the best pizza in Midtown.Maybe someone in your office knows more than you about tax exemptions or bird law, but you can always be the go-to person for pizza knowledge. A good way to establish yourself in that position is to bring slices or a pie back from Sofia Pizza Shoppe. If you want to keep it relatively light, get the grandma square, which is mostly just sweet, salty chopped tomatoes on crunchy crust, and for something much less light, get the spinach dip pizza, which is a big slice of thin, doughy crust topped with melted white cheese and big scoops of delicious spinach artichoke dip. The tiny, brick-walled space on First Avenue only has five counter seats, so it’s best for takeout.Pizza, Midtown, Cheap Eats, Delivery, Lunch, Quick Eats, ",Sofia Pizza Shoppe,989 First Avenue,0.276872964169381,0.9344507738386358
199,sorrento pizzeria,408,408,1," The winning slice at this Morris Park pizzeria is the Sicilian: The fluffy crust sports a crisp bottom, and the liberal application of sauce adds flavor, not sog. ""It's the trays that make a difference,"" swears owner Tony Nardi. Sorrento bakes its Sicilian pies in 18-by-18-inch cast-iron trays that date back 60 years. The kitchen staff wipes them down, but never soaps them -- which means they're infused with six decades of savory pizza residue. As for the sauce, that's a combination of a thicker marinara variety and a juicier tomato one, says Nardi, 56, whose dad opened up the casual restaurant when he was 12 years old.  ",Sorrento Pizzeria,,0.04885993485342016,0.4944753038343491
200,sottocasa,409,411,3,"Located just below street level on frenetic Atlantic Avenue, a nondescript façade holds a quiet den of serious Neapolitan pizza magic. Enter and you’ll find a simple, narrow, wood-paneled room with whitewashed brick walls; a little bar showcasing a handful of wines; an enormous, two-ton clay oven (imported directly from Naples); and a little patio out back for alfresco dining. The mood is decidedly relaxed, and while there are delicious salads, antipasti and desserts to be tried at Sottocasa, the name of the game here is undoubtedly their wickedly good pizza, served folded, bianche or rosse (with—hurrah!—a gluten-free option as well). Regulars adore the Diavola pie, which comes laced with excellent mozzarella, fresh basil, black olives and hot sopressata.Luca Arrigoni, an alum of Keste, runs this under-the-radar, but top-notch Neapolitan pizzeria in Boerum Hill. The endearing space has mismatched chairs, brick walls, and an enclosed patio outside. The toppings are high-quality and come in over a dozen traditional-leaning combinations; for something a bit unexpected, try the Laura, with speck, mascarpone, and rosemary. Arrigoni opened another location, in Harlem, in July 2015. None",Sottocasa Pizzeria,"298 Atlantic Ave (btwn Smith & Hoyt St.), Brooklyn, NY",1.351791530944625,0.9545387999322452
201,sottocasa harlem,412,412,1,"Sottocasa in Harlem flies under the radar, but their Neopolitan pizza is great. Sottocasa’s pizza achieves that rare, perfect crust texture: chewy, but not soggy, charred, but not crusty. It’s surprising more people don’t know about this place, given that the pies are pretty incredible. So take this knowledge and remember it the next time you want to eat a pizza that will make you feel like you’re in Italy. The setting might not be quite as picturesque as somewhere there, but it’s great for a low-key weeknight dinner.Pizza, Casual Weeknight Dinner, ",Sottocasa Harlem,,0.016286644951140017,0.9452593704265176
202,speedy romeo,413,422,10,"A smaller, very casual Lower East Side outpost of Brooklyn’s Speedy Romeo. They may be known for pizza, but that’s not the best thing here.Walk into Speedy Romeo’s Lower East Side location, and you’ll probably think to yourself, “This looks like a bar. Or a pizza place.”American, Pizza, Big Groups, Brunch, First/Early in the Game Dates, Vegetarians, NoneWood-fired cooking arrives in Clinton Hill via this Italian-inspired tavern. Watch Jean Georges vet Justin Bazdarich work the flames at the log-fueled grill and oven as he dispatches smoke-kissed pizzas, steaks and seafood from an open kitchen. The simple menu also includes small plates, like fresh homemade mozzarella, aioli-drizzled mussels and market salads. Drinkers can choose from eight draft beers, an extensive selection of canned beers (Narrangansett, 21st Amendment), and Italian and American wines. Tools, parts and equipment from the former occupant, an automotive shop, decorate the 60-seat space.Speedy RomeoSt. Louis-style pizza is a thing, and Speedy Romeo’s signature pie - the Saint Louie - is a take on it. It involves a cheese called Provel, a bunch of sausage and pickled peppers, and slices that are cut into squares rather than triangles. It’s delicious and different from anything else in the city, and a must-order at this great Clinton Hill pizzeria (which we prefer to the second Lower East Side location). We also love the Dick Dale, which is like a grown-up Hawaiian pizza that you’ll like even if you think Hawaiian pizza is a travesty.Chef Justin Bazdarich and partner Todd Feldman’s Bed-Stuy pizzeria — now with an additional location on the Lower East Side, and a takeout spot called Stilettos — employs the Ezzo roni cup on wood-fired pies. Stilettos has it on a slice as well, accompanied by hot soppressata, parm, pecorino, and a truffle ranch. NoneCollege chums Todd Feldman and Justin Bazdarich had long dreamed of joining their creative and culinary skills and opening up a restaurant together. Lucky for them, and luckier for all of us, their dream has become a reality. Speedy Romeo's Saint Louie pie bursts out of the gate delivering non-traditional provel cheese (a blend of provolone, Swiss, and cheddar) with savory pepperoni and sausage and pickled chilis for a swift kick of flavor. 12"" Saint LouieDo you see the everything bagel seasoning on that crispy, puffy crust? Do you?? Hmm???This Clinton Hill joint turns out wood-fired pies with perfectly chewy crust and seemingly outlandish toppings—like clams and pancetta, and pastrami with mustard. But that's not the only reason you're coming here. You're coming here to get the St. Louie, a St. Louis-inspired pie topped with Italian sausage, pepperoni, pickled chilies, and provel cheese—a deliciously gooey processed blend of cheddar, Swiss, and provolone imported from the Lou. The whole thing's cut up into little diamond shapes, so each bite somewhat resembles a pizza nacho. If that doesn't sound good to you, you're just wrong. It's excellent.Speedy Romeo is the best restaurant you haven’t been to. Put it on your Hit List and make the trip to Clinton Hill.Speedy Romeo is the best restaurant you haven’t been to. Seriously. Take all of the other places on your Hit List and push them aside until you’ve been to Clinton Hill to check out what’s going on here. American, Pizza, Brunch, Date Night, First/Early in the Game Dates, Kids, ",Speedy Romeo,"63 Clinton Street, New York, NY, 10002",3.8957654723127026,0.9884107120026089
203,sro,423,423,1,"A ""speakeasy"" with a ""pizza tasting menu.""In preschool, a teacher found me irritating because I told her that I thought the class wasn't being run efficiently. There were too many rules, and they didn't make sense. It's not that I was an anarchist child, I just found that the rigid regulations at nap time did more harm than good.Pizza, Italian, Wasting Your Time and Money, ",SRO,,0.19869706840390883,4.5558654768404553e-07
204,steinway pizza,424,424,1,"Wavy orange seats on the formica booths are classic neighborhood pizzeria décor, and often cue you that a great slice is on the way. And so are the gargantuan stacks of pre-folded pizza boxes at this classic parlor on a busy Astoria shopping strip. Go straight for the plain cheese slice, with a magnificently thin and floppy crust, large bone (the circumferential edge), and unusually large quantity of cheese, which is not a burden but a pleasure. One of the mellowest slices in Queens.",Steinway Pizza,"31-51 Steinway St, Astoria, NY 11103",0.45602605863192175,0.8339663315477077
205,stellas,425,425,1,"Founded in 1997, this Chelsea mainstay seems far older. The regular slice is especially tomatoey and slightly salty, best enjoyed as part of the $5 lunch special (two slices and a can of soda). On the other hand, then you’d miss the dense white broccoli slice, which features cloudy masses of ricotta and mozzarella. Seating is limited to a gleaming metal counter, and you should see the line that winds out the door during mealtimes! Are those Roy Lichtenstein prints on the walls? He once lived nearby. ",Stella's ,"110 9th Ave #1, New York, NY 10011",0.45602605863192175,0.8326580637978083
206,streetsweeper cafe & lounge,426,426,1,"Streetsweeper is an all-day cafe in Prospect Lefferts Gardens with a pizza-focused menu.Come to this all-day cafe in the morning for a croissant BEC, or later on for pizzas topped with things like homemade meatballs and pickled chilis. The front room, which looks like a nondescript coffee shop, is a good place to have coffee and read a book on a couch or lounge chair, and the dining room and backyard are both good spots for a casual afternoon snack with a beer or glass of wine (but there are better places nearby for a full sit-down meal).Pizza, Cafe/Bakery, Brunch, Casual Weeknight Dinner, Lunch, Outdoor/Patio Situation, ",Streetsweeper Cafe & Lounge,,0.016286644951140017,0.8725048010973935
207,table 87,427,427,1,"The Vibe: Usually when you want a slice of coal oven pizza you have to commit to buying a pie, but thankfully all commitment phobic folks can enjoy a single slice at Table 87 Coal Oven Pizza, which is ""the first in Brooklyn to offer coal oven pizza by the slice.""  ",Table 87,"473 3rd Ave, Brooklyn, NY 11215, USA",0.3583061889250813,0.7272811311078081
208,tavola,428,428,1,"A Hell’s Kitchen Italian restaurant cooking up the classics, plus a nutella pizza. There are a few parts of New York City that you simply do not want to find yourself hungry in, and that little stretch of 9th Avenue near the Port Authority Bus Terminal is certainly one of them. However, if you find yourself working (or living) in the high west 30′s or low west 40′s, there are a few restaurant gems to be found, and Tavola is one of them.Pizza, Pasta, Italian, Lunch, Pre-Theater Eats, ",Tavola,,0.23452768729641688,3.472709553129383e-05
209,the pizza barn,429,429,1,"In a world where size matters, The Pizza Barn would be king. This pizza parlor in Yonkers is the home of the two-foot pizza slice. Yes, a full 24 inches of pizza all in one massive piece of pie. And the slices don’t just come in cheese: white pizza, salad super slices, BBQ super slices, and more are also on offer. The slices start at just $12 each, so go ahead and order two for good measurest Slice",The Pizza Barn,670 McLean Avenue.,0.09771986970684038,0.8701462259681184
210,the woodstock,430,430,1,"The Woodstock is a big bar in Meatpacking serving pizzas and $10 cocktails.The Woodstock is a big bar in Meatpacking with original Salvador Dali paintings hanging on the walls. But before you group it with other spots in the area where doormen keep lines out front even when it’s empty inside, we want you to know that this place is chilled out. You can wear sneakers to The Woodstock, eat Neapolitan pizza at communal tables, and play pool in the back. The whole space feels like a set out of That 70’s Show, including a cozy living room with leather couches and worn-in rugs. As the night goes on, the lights dim and the music gets louder, but this is still a fairly casual spot to drink cocktails (all $10) with a big group.Pizza, Big Groups, ",The Woodstock,,0.016286644951140017,0.6853979935435265
211,tomato n basil,431,431,1,"This pocket-size pizzeria right above the R stop at Union Street in Gowanus excels at modern notions of neighborhood pizza. Consistent with its name, the square, compact grandma slice is the one to get, with the cheese on the bottom, sauce on top, and several basil leaves imparting sweet flavor on top. The eggplant and chicken-ricotta pies are also worth sampling.",Tomato N Basil,"226 4th Ave, Brooklyn, NY 11215",0.45602605863192175,0.507052036237341
212,tommys pizza,432,432,1," One of the beautiful things about the pizza scene in the Bronx is that many owners still churn out the pies themselves. That's definitely the case at Tommy's Pizza, a no-frills Throgs Neck slice joint where Gaetano ""Tommy"" Labue, 67, is already popping pies into the gas oven at 10 in the morning. ""I started selling pizza when it was 75 cents a pie,"" says Labue, a slight man with a thick Sicilian accent who opened his shop in 1977. He's served thin-crust, New York-style slices to four generations of customers at his marble countertop, and you can tell -- by the team trophies and photos displayed in the front and back rooms of his modest little enterprise -- he takes pride in ""keeping [neighborhood] kids off the street."" A stopover here, and a plain slice (with what we consider an excellent ratio of low-moisture shredded mozzarella to tomato sauce to cornmeal-dusted crust) will transport you to those simpler times when kids kept themselves occupied with tag and baseball -- not their iPhones. ",Tommy's Pizza,,0.04885993485342016,0.8018280456237586
213,toms delicious pizza,433,433,1,"Founded just north of Columbia University in 1998 by brothers Tomas and Eduardo Ochoa, this small pizzeria turns out spectacular cheese slices. The crust is ultra-thin and crisp, the cheese thicker than usual, and the tomato sauce merely a pastel background to the rest. The smell of fresh garlic knots suffuses the air, and there’s a second branch in Union City, NJ, in case you happen to be in the town that’s right across the Hudson River.",Tom's Delicious Pizza,"3161 Broadway, New York, NY 10027",0.45602605863192175,0.19566542362849745
214,tonys,434,434,1,"Jeez there must be dozens of pizzerias in the five boroughs named Tony’s. This one distinctively occupies a rather grand corner double-storefront with plenty of windows, through which the snow looks rather dramatic as it falls softly on Crown Heights. The stacked ovens turn out all the usual pies, and there’s also a sideline in jerk chicken, a neighborhood favorite. Torn into pieces, that bird goes on a slice, with some barbecue sauce striped on for extra sweetness. Hey, it’s good! ",Tony’s,"850 Nostrand Ave, Brooklyn, NY 11225",0.45602605863192175,0.7727012367415607
